model_name,total_time,final_acc,f1_macro,precision,recall,params
GCN,12.74880051612854,0.792,0.7880567309220297,0.786969668646755,0.7922057320362406,32259
GraphSAGE,21.268468141555786,0.767,0.7641642619467639,0.7606140771329547,0.7688701248023282,32227
