model_name,total_time,final_acc,f1_macro,precision,recall,params
GCN,3.228926658630371,0.803,0.7935510957870076,0.7825686425181818,0.8172366068889035,92231
GraphSAGE,7.276826620101929,0.807,0.8007644978223963,0.7884795056124126,0.8255370318688902,92199
